Strategic,Monitor,On,Monday,02-April-2018,filename:CCITY_20180402

Monday,02-April-2018,00:00,SS,6M+,PL,4.3,PV,4.3,CL,88,+0,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,197,L,71,ABF,55,38,9,8,38,10,9,-,-,-,-,-,-,480
,197,L,72,ABF,55,33,7,6,10,3,2,-,-,-,-,-,-,340
A=<22,B=20,C=#25,D=20,E=17
Monday,02-April-2018,00:15,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,53,29,5,5,12,3,2,36,8,7,6,2,1,31
,183,S,21,B,27,29,3,3,27,3,2,0,0,0,-,-,-,41
,184,S,161,A,59,35,8,7,50,9,10,38,8,9,17,4,3,38
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,9
,183,S,183,B,27,29,3,3,27,3,2,-,-,-,-,-,-,41
,183,L,7,AC,53,29,5,5,-,-,-,-,-,-,-,-,-,160
A=<29,B=48,C=#20
Monday,02-April-2018,00:15,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,70,18,7,4,15,6,4,8,3,2,-,-,-,16
,354,S,31,B,14,0,0,0,11,2,1,0,0,0,-,-,-,14
,182,S,34,A,16,0,0,0,9,2,0,-,-,-,-,-,-,12
,2,L,14,AD,52,31,6,5,21,5,5,-,-,-,-,-,-,1000
,2,L,15,AD,52,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,02-April-2018,00:15,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
