Strategic,Monitor,On,Sunday,03-June-2018,filename:CCITY_20180603

Sunday,03-June-2018,00:00,SS,6M+,PL,3.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Sunday,03-June-2018,00:14,SS,10,-,PL,2.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,26
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,28,26,3,2,25,3,2,23,3,2,-,-,-,26
,354,S,31,B,22,24,3,2,21,3,2,0,0,0,-,-,-,11
,182,S,34,A,39,23,2,3,32,4,4,-,-,-,-,-,-,27
A=<60,B=40
Sunday,03-June-2018,00:14,SS,6M+,PL,7.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,36,5,4,18,3,2,8,2,1,9,2,1,35
,183,S,21,B,26,25,3,2,66,5,6,66,6,6,-,-,-,74
,184,S,161,A,85,17,5,5,32,10,9,17,7,6,6,2,2,34
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,26,25,3,2,66,5,6,-,-,-,-,-,-,74
,183,L,7,AC,38,36,5,4,-,-,-,-,-,-,-,-,-,200
A=<27,B=50,C=#20
Sunday,03-June-2018,00:14,SS,58M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,34,11,10,9,3,2,26,9,8,0,0,0,32
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,13
A=<79,B=#18
Sunday,03-June-2018,00:15,SS,85M+,PL,7.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,143
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,81,-,-,-,42,10,10,5,2,1,-,-,-,41
,196,S,310,A,53,49,7,7,37,5,6,167,3,24,-,-,-,143
,196,S,311,ABE,53,14,3,3,57,10,10,58,10,10,26,4,5,59
,196,S,312,D,39,71,7,8,33,5,4,53,7,8,16,3,2,89
,197,L,71,ABF,63,47,9,10,48,13,12,-,-,-,-,-,-,500
,197,L,72,ABF,63,41,8,9,51,10,10,-,-,-,-,-,-,660
A=<20,B=20,C=#25,D=22,E=17
Sunday,03-June-2018,00:15,SS,10,-,PL,4.2,PV,4.2,CL,60,-5,RL,60,SA,30,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,42,16,3,2,14,3,2,27,3,3,-,-,-,23
,354,S,31,B,26,28,3,3,46,5,5,18,2,2,-,-,-,29
,182,S,34,A,39,23,2,3,32,4,4,-,-,-,-,-,-,27
A=<47,B=53
Sunday,03-June-2018,00:16,SS,6M+,PL,7.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,71
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,50,71,11,10,19,4,3,24,6,5,7,2,1,51
,183,S,21,B,28,36,5,3,62,7,6,12,2,1,-,-,-,67
,184,S,161,A,85,41,13,11,54,17,16,14,6,5,6,2,2,41
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,28,36,5,3,62,7,6,-,-,-,-,-,-,67
,183,L,7,AC,50,71,11,10,-,-,-,-,-,-,-,-,-,280
A=<27,B=50,C=#20
