Strategic,Monitor,On,Wednesday,16-May-2018,filename:CCITY_20180516

Wednesday,16-May-2018,00:00,SS,28M+,PL,8.3,PV,8.2,CL,60,+0,RL,60,SA,51,DS,128
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,7,3,2,8,3,2,5,2,1,-,-,-,11
,354,S,31,B,19,18,3,1,24,2,2,0,0,0,-,-,-,23
,182,S,34,A,10,0,0,0,0,0,0,-,-,-,-,-,-,6
,2,L,14,AD,28,31,3,3,0,0,0,-,-,-,-,-,-,1260
,2,L,15,AD,28,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,16-May-2018,00:10,SS,28M+,PL,8.3,PV,8.3,CL,60,+0,RL,52,SA,47,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,44,9,2,2,19,4,3,-,-,-,-,-,-,22
,48,S,90,A,44,-,-,-,-,-,-,0,0,0,-,-,-,34
,48,S,91,BC,14,0,0,0,0,0,0,-,-,-,-,-,-,15
,48,S,213,A,44,-,-,-,-,-,-,0,0,0,-,-,-,34
,48,L,23,A,44,9,2,2,19,4,3,-,-,-,-,-,-,300
,48,L,49,A,44,-,-,-,-,-,-,0,0,0,-,-,-,380
A=<35,B=28,C=#22
Wednesday,16-May-2018,00:10,SS,23M+,PL,2.3,PV,5.2,CL,60,+0,RL,60,SA,130,DS,53
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,42,49,10,10,53,8,10,28,5,5,-,-,-,53
,152,S,131,A,42,8,2,1,24,5,4,-,-,-,-,-,-,14
,152,S,132,C,17,79,2,4,0,0,0,36,2,2,-,-,-,52
,193,L,57,ABCE,66,5,2,1,55,12,13,0,0,0,-,-,-,460
,193,L,58,AE,44,0,0,0,10,2,2,0,0,0,-,-,-,100
A=<71,B=1,C=29,D=1
Wednesday,16-May-2018,00:11,SS,3M+,PL,3.3,PV,19.3,CL,86,+0,RL,69,SA,201,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,101,8,3,3,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,13,0,0,0,12,2,1,0,0,0,-,-,-,24
,145,S,133,AB,89,7,4,3,9,3,3,-,-,-,-,-,-,9
,145,S,204,AB,89,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,89,7,4,3,9,3,3,-,-,-,-,-,-,9
,145,S,212,AC,101,8,3,3,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,89,7,4,3,9,3,3,-,-,-,-,-,-,180
A=<38,B=#23,C=35
Wednesday,16-May-2018,00:11,SS,10M+,PL,3.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,8,3,2,9,3,2,0,0,0,-,-,-,10
,354,S,31,B,18,10,2,1,20,3,1,0,0,0,-,-,-,22
,182,S,34,A,24,0,0,0,8,2,1,-,-,-,-,-,-,6
,2,L,14,AD,74,11,3,3,16,6,5,-,-,-,-,-,-,1000
,2,L,15,AD,74,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,16-May-2018,00:11,SS,28M+,PL,8.3,PV,8.3,CL,67,+1,RL,44,SA,50,DS,166
