Strategic,Monitor,On,Sunday,29-April-2018,filename:CCITY_20180429

Sunday,29-April-2018,00:00,SS,23M+,PL,4.4,PV,3.3,CL,120,+0,RL,101,SA,310,DS,167
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,131,A,101,25,11,8,18,8,7,-,-,-,-,-,-,38
,152,S,132,C,27,22,3,2,40,4,4,0,0,0,-,-,-,37
,193,L,57,ABCE,82,11,4,4,38,12,11,0,0,0,-,-,-,560
,193,L,58,AE,82,21,7,5,38,12,12,34,11,10,-,-,-,740
A=<68,B=1,C=32,D=1
Sunday,29-April-2018,00:16,SS,3M+,PL,1.3,PV,1.3,CL,98,+0,RL,84,SA,201,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,110,15,6,6,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,22,48,4,4,14,2,1,0,0,0,-,-,-,26
,145,S,133,AB,89,7,4,3,19,7,6,-,-,-,-,-,-,15
,145,S,204,AB,89,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,89,7,4,3,19,7,6,-,-,-,-,-,-,15
,145,S,212,AC,110,15,6,6,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,89,7,4,3,19,7,6,-,-,-,-,-,-,280
A=<37,B=#23,C=40
Sunday,29-April-2018,00:16,SS,10M+,PL,3.2,PV,3.2,CL,98,+0,RL,84,SA,20,DS,41
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,77,33,12,8,26,10,7,15,5,4,-,-,-,33
,354,S,31,B,23,40,5,3,30,4,3,14,2,1,-,-,-,28
,182,S,34,A,61,20,4,4,35,7,7,-,-,-,-,-,-,29
,2,L,14,AD,54,73,15,13,72,17,17,-,-,-,-,-,-,2160
,2,L,15,AD,54,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
