Strategic,Monitor,On,Friday,01-Jun-18,filename:CCITY_20180601,,,,,,183,196,288,354,,,,,,,,,,,,,,
,INT,OTHER,SA/LK,PH,PT,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,Time Change,Current Time,Reading,Is a Node,Remove Duplicate,Test VO,Total VO,Num Lanes,Summed DS,Average DS
,183,S,183,B,41,63,10,8,82,10,12,-,-,- ,-,-,- ,45,1,00:11:00,1,1,0,20,0,2,0,0
,183,L,7,AC,122,14,6,5,-,-,- ,-,-,- ,-,-,- ,200,1,00:11:00,1,1,0,6,0,1,0,0
A=<33 ,B=48,C=#20,,,,,,,,,,,,,,,,,1,00:11:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:11,SS,58M+,PL,4.3,PV,4.3,CL,107,0,RL,88,SA,0,DS,0,,0,00:11:00,0,0,0,195,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:11:00,0,0,0,0,0,0,0,0
,288,S,206,A,97,21,7,8,0,0,0,18,8,7,0,0,0,22,1,00:11:00,1,1,1,15,15,4,39,9.75
,288,S,270,B,12,16,2,1,29,2,1,-,-,- ,-,-,- ,20,1,00:11:00,1,1,1,4,4,2,45,22.5
A=<78 ,B=#24,,,,,,,,,,,,,,,,,,1,00:11:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:11,SS,10,-,PL,4.2,PV,3.2,CL,80-10,RL,65,SA,30,DS,20,,0,00:11:00,0,0,0,69.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:11:00,0,0,0,0,0,0,0,0
,354,S,30,A,59,20,6,4,15,5,3,0,0,0,-,-,- ,21,1,00:11:00,1,1,1,11,11,3,35,11.6666666666667
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,16,1,00:11:00,1,1,1,0,0,3,0,0
,182,S,34,A,46,0,0,0,8,2,1,-,-,- ,-,-,- ,44,1,00:11:00,1,0,0,2,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,00:11:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:11,SS,10,-,PL,3.2,PV,3.2,CL,68,-7,RL,65,SA,30,DS,20,0,00:11:00,0,0,0,33.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:11:00,0,0,0,0,0,0,0,0
,354,S,30,A,59,20,6,4,15,5,3,0,0,0,-,-,- ,22,1,00:11:00,1,1,1,11,11,3,35,11.6666666666667
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,6,1,00:11:00,1,1,1,0,0,3,0,0
,182,S,34,A,46,0,0,0,8,2,1,-,-,- ,-,-,- ,29,1,00:11:00,1,0,0,2,0,2,0,0
A=<53 ,B=47,,,,,,,,,,,,,,,,,,1,00:11:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:12,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,310,DS,163,,0,00:12:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:12:00,0,0,0,0,0,0,0,0
,908,S,287,AC,126,-,-,- ,28,11,10,13,5,4,-,-,- ,22,1,00:12:00,1,0,0,16,0,2,0,0
,196,S,310,A,71,37,7,7,53,10,11,161,6,32,-,-,- ,163,1,00:12:00,1,1,1,23,23,3,251,83.6666666666667
,196,S,311,ABE,71,4,2,1,23,7,5,17,4,4,13,4,3,26,1,00:12:00,1,1,1,17,17,4,57,14.25
,196,S,312,D,42,119,10,15,48,6,7,61,9,10,24,3,3,72,1,00:12:00,1,1,1,28,28,4,252,63
,197,L,71,ABF,47,66,12,11,69,16,13,-,-,- ,-,-,- ,540,1,00:12:00,1,0,0,28,0,2,0,0
,197,L,72,ABF,47,45,5,7,41,5,6,-,-,- ,-,-,- ,360,1,00:12:00,1,0,0,10,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:12:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:13,SS,10,-,PL,3.2,PV,4.2,CL,80,0,RL,60,SA,30,DS,22,0,00:13:00,0,0,0,33.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:13:00,0,0,0,0,0,0,0,0
,354,S,30,A,69,22,8,5,19,8,4,8,3,2,-,-,- ,21,1,00:13:00,1,1,1,19,19,3,49,16.3333333333333
,354,S,31,B,18,14,2,1,23,2,2,0,0,0,-,-,- ,10,1,00:13:00,1,1,1,4,4,3,37,12.3333333333333
,182,S,34,A,47,0,0,0,27,5,4,-,-,- ,-,-,- ,17,1,00:13:00,1,0,0,5,0,2,0,0
A=<53 ,B=47,,,,,,,,,,,,,,,,,,1,00:13:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:13,SS,6M+,PL,6.3,PV,7.3,CL,106,0,RL,89,SA,20,DS,16,,0,00:13:00,0,0,0,195,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:13:00,0,0,0,0,0,0,0,0
,183,S,20,AC,122,14,6,5,13,6,5,16,9,8,0,0,0,18,1,00:13:00,1,1,1,21,21,4,43,10.75
,183,S,21,B,41,63,10,8,82,10,12,36,6,5,-,-,- ,64,1,00:13:00,1,1,1,26,26,3,181,60.3333333333333
,184,S,161,A,106,12,4,4,26,10,9,31,14,13,7,2,2,28,1,00:13:00,1,0,0,30,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:13:00,1,0,0,0,0,2,0,0
,183,S,183,B,41,63,10,8,82,10,12,-,-,- ,-,-,- ,64,1,00:13:00,1,1,0,20,0,2,0,0
,183,L,7,AC,122,14,6,5,-,-,- ,-,-,- ,-,-,- ,160,1,00:13:00,1,1,0,6,0,1,0,0
A=<33 ,B=48,C=#20,,,,,,,,,,,,,,,,,1,00:13:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:13,SS,58M+,PL,4.3,PV,4.3,CL,106,0,RL,89,SA,201,DS,17,,0,00:13:00,0,0,0,195,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:13:00,0,0,0,0,0,0,0,0
,288,S,206,A,94,32,12,11,8,2,2,17,7,7,0,0,0,27,1,00:13:00,1,1,1,21,21,4,57,14.25
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,14,1,00:13:00,1,1,1,0,0,2,0,0
A=<79 ,B=#22,,,,,,,,,,,,,,,,,,1,00:13:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:14,SS,10,+,PL,4.2,PV,4.2,CL,75,-4,RL,60,SA,30,DS,5,0,00:14:00,0,0,0,34.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:14:00,0,0,0,0,0,0,0,0
,354,S,30,A,60,5,2,1,4,2,1,0,0,0,-,-,- ,14,1,00:14:00,1,1,1,4,4,3,9,3
,354,S,31,B,13,73,3,3,40,2,2,39,2,2,-,-,- ,40,1,00:14:00,1,1,1,7,7,3,152,50.6666666666667
,182,S,34,A,61,18,4,3,39,8,8,-,-,- ,-,-,- ,28,1,00:14:00,1,0,0,12,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,00:14:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:14,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,310,DS,159,,0,00:14:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:14:00,0,0,0,0,0,0,0,0
,908,S,287,AC,92,-,-,- ,13,5,3,5,2,1,-,-,- ,18,1,00:14:00,1,0,0,7,0,2,0,0
,196,S,310,A,53,45,3,7,47,7,7,152,11,23,-,-,- ,159,1,00:14:00,1,1,1,21,21,3,244,81.3333333333333
,196,S,311,ABE,53,12,3,3,46,7,8,59,10,10,26,6,5,38,1,00:14:00,1,1,1,26,26,4,143,35.75
,196,S,312,D,27,40,4,3,26,3,2,37,6,4,13,2,1,61,1,00:14:00,1,1,1,15,15,4,116,29
,197,L,71,ABF,56,15,4,3,12,4,3,-,-,- ,-,-,- ,420,1,00:14:00,1,0,0,8,0,2,0,0
,197,L,72,ABF,56,72,8,13,47,9,8,-,-,- ,-,-,- ,460,1,00:14:00,1,0,0,17,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:14:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:14,SS,6M+,PL,6.3,PV,6.3,CL,102,0,RL,88,SA,20,DS,20,,0,00:14:00,0,0,0,190,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:14:00,0,0,0,0,0,0,0,0
,183,S,20,AC,47,12,2,2,20,4,3,11,3,2,0,0,0,18,1,00:14:00,1,1,1,9,9,4,43,10.75
,183,S,21,B,27,15,3,1,25,4,2,10,2,1,-,-,- ,56,1,00:14:00,1,1,1,9,9,3,50,16.6666666666667
,184,S,161,A,105,23,4,7,35,13,12,26,12,11,7,2,2,31,1,00:14:00,1,0,0,31,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:14:00,1,0,0,0,0,2,0,0
,183,S,183,B,27,15,3,1,25,4,2,-,-,- ,-,-,- ,56,1,00:14:00,1,1,0,7,0,2,0,0
,183,L,7,AC,47,12,2,2,-,-,- ,-,-,- ,-,-,- ,120,1,00:14:00,1,1,0,2,0,1,0,0
A=<32 ,B=48,C=#20,,,,,,,,,,,,,,,,,1,00:14:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:14,SS,58M+,PL,3.3,PV,3.3,CL,102,0,RL,88,SA,201,DS,4,,0,00:14:00,0,0,0,190,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:14:00,0,0,0,0,0,0,0,0
,288,S,206,A,107,43,19,17,7,2,2,17,8,8,0,0,0,35,1,00:14:00,1,1,1,29,29,4,67,16.75
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,6,1,00:14:00,1,1,1,0,0,2,0,0
A=<73 ,B=#28,,,,,,,,,,,,,,,,,,1,00:14:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:15,SS,10,+,PL,4.2,PV,4.2,CL,70,0,RL,60,SA,30,DS,10,0,00:15:00,0,0,0,34.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:15:00,0,0,0,0,0,0,0,0
,354,S,30,A,50,10,3,2,10,3,2,0,0,0,-,-,- ,11,1,00:15:00,1,1,1,6,6,3,20,6.66666666666667
,354,S,31,B,25,0,0,0,31,5,3,11,2,1,-,-,- ,43,1,00:15:00,1,1,1,7,7,3,42,14
,182,S,34,A,61,18,4,3,39,8,8,-,-,- ,-,-,- ,36,1,00:15:00,1,0,0,12,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,00:15:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:16,SS,6M+,PL,6.3,PV,6.3,CL,102,0,RL,87,SA,18,DS,114,,0,00:16:00,0,0,0,189,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:16:00,0,0,0,0,0,0,0,0
,183,S,20,AC,79,9,3,2,34,10,9,35,12,11,12,4,3,26,1,00:16:00,1,1,1,29,29,4,90,22.5
,183,S,21,B,39,51,8,6,37,7,5,28,5,4,-,-,- ,49,1,00:16:00,1,1,1,20,20,3,116,38.6666666666667
,184,S,161,A,101,10,3,3,33,12,11,35,15,14,17,5,5,34,1,00:16:00,1,0,0,35,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:16:00,1,0,0,0,0,2,0,0
,183,S,183,B,39,51,8,6,37,7,5,-,-,- ,-,-,- ,49,1,00:16:00,1,1,0,15,0,2,0,0
,183,L,7,AC,79,9,3,2,-,-,- ,-,-,- ,-,-,- ,80,1,00:16:00,1,1,0,3,0,1,0,0
A=<32 ,B=48,C=#20,,,,,,,,,,,,,,,,,1,00:16:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:16,SS,58M-,PL,3.3,PV,1.3,CL,102,0,RL,86,SA,201,DS,6,,0,00:16:00,0,0,0,188,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:16:00,0,0,0,0,0,0,0,0
,288,S,206,A,104,21,9,8,6,2,2,15,7,7,0,0,0,31,1,00:16:00,1,1,1,18,18,4,42,10.5
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:16:00,1,1,1,0,0,2,0,0
A=<75 ,B=#26,,,,,,,,,,,,,,,,,,1,00:16:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:16,SS,10,-,PL,3.2,PV,3.2,CL,66,0,RL,60,SA,30,DS,25,0,00:16:00,0,0,0,33.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:16:00,0,0,0,0,0,0,0,0
,354,S,30,A,46,25,5,4,10,3,2,20,5,3,-,-,- ,16,1,00:16:00,1,1,1,13,13,3,55,18.3333333333333
,354,S,31,B,16,0,0,0,31,5,2,12,2,1,-,-,- ,40,1,00:16:00,1,1,1,7,7,3,43,14.3333333333333
,182,S,34,A,61,0,0,0,23,6,5,-,-,- ,-,-,- ,32,1,00:16:00,1,0,0,6,0,2,0,0
A=<53 ,B=47,,,,,,,,,,,,,,,,,,1,00:16:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:16,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,310,DS,156,,0,00:16:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:16:00,0,0,0,0,0,0,0,0
,908,S,287,AC,116,-,-,- ,14,7,5,5,2,1,-,-,- ,17,1,00:16:00,1,0,0,9,0,2,0,0
,196,S,310,A,44,30,4,4,42,5,5,157,4,19,-,-,- ,156,1,00:16:00,1,1,1,13,13,3,229,76.3333333333333
,196,S,311,ABE,70,0,0,0,30,6,7,17,3,4,9,2,2,38,1,00:16:00,1,1,1,11,11,4,56,14
,196,S,312,D,39,71,7,8,22,4,3,69,8,10,28,5,3,71,1,00:16:00,1,1,1,24,24,4,190,47.5
,197,L,71,ABF,75,25,8,6,22,8,6,-,-,- ,-,-,- ,380,1,00:16:00,1,0,0,16,0,2,0,0
,197,L,72,ABF,75,25,6,6,10,2,2,-,-,- ,-,-,- ,400,1,00:16:00,1,0,0,8,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:16:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:17,SS,10,-,PL,3.2,PV,4.2,CL,63,0,RL,60,SA,30,DS,24,0,00:17:00,0,0,0,33.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:17:00,0,0,0,0,0,0,0,0
,354,S,30,A,55,24,5,4,23,5,4,11,2,2,-,-,- ,21,1,00:17:00,1,1,1,12,12,3,58,19.3333333333333
,354,S,31,B,16,19,2,1,15,2,1,0,0,0,-,-,- ,26,1,00:17:00,1,1,1,4,4,3,34,11.3333333333333
,182,S,34,A,50,0,0,0,23,5,4,-,-,- ,-,-,- ,27,1,00:17:00,1,0,0,5,0,2,0,0
A=<53 ,B=47,,,,,,,,,,,,,,,,,,1,00:17:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:18,SS,6M+,PL,6.3,PV,6.3,CL,97,-2,RL,86,SA,20,DS,22,,0,00:18:00,0,0,0,183,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:18:00,0,0,0,0,0,0,0,0
,183,S,20,AC,59,12,3,2,20,5,4,22,7,5,6,2,1,26,1,00:18:00,1,1,1,17,17,4,60,15
,183,S,21,B,29,22,3,2,33,5,3,0,0,0,-,-,- ,37,1,00:18:00,1,1,1,8,8,3,55,18.3333333333333
,184,S,161,A,101,17,6,5,34,13,12,25,11,10,9,3,3,35,1,00:18:00,1,0,0,33,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:18:00,1,0,0,0,0,2,0,0
,183,S,183,B,29,22,3,2,33,5,3,-,-,- ,-,-,- ,37,1,00:18:00,1,1,0,8,0,2,0,0
,183,L,7,AC,59,12,3,2,-,-,- ,-,-,- ,-,-,- ,60,1,00:18:00,1,1,0,3,0,1,0,0
A=<31 ,B=48,C=#20,,,,,,,,,,,,,,,,,1,00:18:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:18,SS,58M+,PL,1.3,PV,1.3,CL,97,-2,RL,85,SA,201,DS,5,,0,00:18:00,0,0,0,182,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:18:00,0,0,0,0,0,0,0,0
,288,S,206,A,98,20,8,7,9,3,3,12,5,5,0,0,0,25,1,00:18:00,1,1,1,16,16,4,41,10.25
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:18:00,1,1,1,0,0,2,0,0
A=<78 ,B=#21,,,,,,,,,,,,,,,,,,1,00:18:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:18,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,310,DS,161,,0,00:18:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:18:00,0,0,0,0,0,0,0,0
,908,S,287,AC,107,-,-,- ,22,10,7,11,4,3,-,-,- ,17,1,00:18:00,1,0,0,14,0,2,0,0
,196,S,310,A,54,38,3,6,28,4,4,169,4,26,-,-,- ,161,1,00:18:00,1,1,1,11,11,3,235,78.3333333333333
,196,S,311,ABE,54,17,3,4,57,9,10,53,7,9,25,4,5,49,1,00:18:00,1,1,1,23,23,4,152,38
,196,S,312,D,29,49,4,4,20,3,2,41,6,5,0,0,0,54,1,00:18:00,1,1,1,13,13,4,110,27.5
,197,L,71,ABF,80,21,8,6,32,8,10,-,-,- ,-,-,- ,380,1,00:18:00,1,0,0,16,0,2,0,0
,197,L,72,ABF,80,32,8,8,35,10,9,-,-,- ,-,-,- ,440,1,00:18:00,1,0,0,18,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:18:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:18,SS,10,-,PL,3.2,PV,3.2,CL,63,0,RL,60,SA,30,DS,24,0,00:18:00,0,0,0,33.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:18:00,0,0,0,0,0,0,0,0
,354,S,30,A,50,24,6,4,23,6,4,9,2,1,-,-,- ,24,1,00:18:00,1,1,1,14,14,3,56,18.6666666666667
,354,S,31,B,20,0,0,0,36,4,3,0,0,0,-,-,- ,29,1,00:18:00,1,1,1,4,4,3,36,12
,182,S,34,A,42,0,0,0,27,4,4,-,-,- ,-,-,- ,25,1,00:18:00,1,0,0,4,0,2,0,0
A=<53 ,B=47,,,,,,,,,,,,,,,,,,1,00:18:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:19,SS,10,-,PL,3.2,PV,3.2,CL,60,0,RL,60,SA,30,DS,19,0,00:19:00,0,0,0,33.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:19:00,0,0,0,0,0,0,0,0
,354,S,30,A,43,19,4,3,13,3,2,0,0,0,-,-,- ,22,1,00:19:00,1,1,1,7,7,3,32,10.6666666666667
,354,S,31,B,17,20,2,1,23,2,2,0,0,0,-,-,- ,26,1,00:19:00,1,1,1,4,4,3,43,14.3333333333333
,182,S,34,A,61,0,0,0,25,6,5,-,-,- ,-,-,- ,25,1,00:19:00,1,0,0,6,0,2,0,0
A=<53 ,B=47,,,,,,,,,,,,,,,,,,1,00:19:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:19,SS,6M+,PL,6.3,PV,6.3,CL,90,0,RL,86,SA,20,DS,22,,0,00:19:00,0,0,0,176,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:19:00,0,0,0,0,0,0,0,0
,183,S,20,AC,59,12,3,2,20,5,4,22,7,5,6,2,1,25,1,00:19:00,1,1,1,17,17,4,60,15
,183,S,21,B,29,22,3,2,33,5,3,0,0,0,-,-,- ,37,1,00:19:00,1,1,1,8,8,3,55,18.3333333333333
,184,S,161,A,43,26,4,3,54,9,8,28,6,5,0,0,0,43,1,00:19:00,1,0,0,19,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:19:00,1,0,0,0,0,2,0,0
,183,S,183,B,29,22,3,2,33,5,3,-,-,- ,-,-,- ,37,1,00:19:00,1,1,0,8,0,2,0,0
,183,L,7,AC,59,12,3,2,-,-,- ,-,-,- ,-,-,- ,60,1,00:19:00,1,1,0,3,0,1,0,0
A=<30 ,B=48,C=#20,,,,,,,,,,,,,,,,,1,00:19:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:19,SS,58M+,PL,1.3,PV,1.3,CL,90,0,RL,82,SA,0,DS,0,,0,00:19:00,0,0,0,172,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:19:00,0,0,0,0,0,0,0,0
,288,S,206,A,98,20,8,7,9,3,3,12,5,5,0,0,0,20,1,00:19:00,1,1,1,16,16,4,41,10.25
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:19:00,1,1,1,0,0,2,0,0
A=<79 ,B=#19,,,,,,,,,,,,,,,,,,1,00:19:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:20,SS,85M+,PL,5.3,PV,5.3,CL,120,0,RL,138,SA,310,DS,117,,0,00:20:00,0,0,0,258,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:20:00,0,0,0,0,0,0,0,0
,908,S,287,AC,132,-,-,- ,28,13,11,10,3,3,-,-,- ,23,1,00:20:00,1,0,0,16,0,2,0,0
,196,S,310,A,66,29,5,5,40,7,8,59,8,11,-,-,- ,117,1,00:20:00,1,1,1,20,20,3,128,42.6666666666667
,196,S,311,ABE,66,24,3,6,42,11,9,49,12,11,9,3,2,47,1,00:20:00,1,1,1,29,29,4,124,31
,196,S,312,D,43,81,10,11,20,3,3,75,9,12,18,3,2,68,1,00:20:00,1,1,1,25,25,4,194,48.5
,197,L,71,ABF,47,30,6,5,30,6,6,-,-,- ,-,-,- ,380,1,00:20:00,1,0,0,12,0,2,0,0
,197,L,72,ABF,47,63,11,10,68,11,10,-,-,- ,-,-,- ,480,1,00:20:00,1,0,0,22,0,2,0,0
A=<18 ,B=20,C=#25,D=24,E=17,,,,,,,,,,,,,,,1,00:20:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:20,SS,10,-,PL,4.2,PV,4.2,CL,60,0,RL,60,SA,170,DS,100,0,00:20:00,0,0,0,174.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:20:00,0,0,0,0,0,0,0,0
,354,S,30,A,55,14,5,2,15,6,3,13,4,2,-,-,- ,18,1,00:20:00,1,1,1,15,15,3,42,14
,354,S,31,B,21,38,3,3,50,4,4,0,0,0,-,-,- ,38,1,00:20:00,1,1,1,7,7,3,88,29.3333333333333
,182,S,34,A,61,0,0,0,25,6,5,-,-,- ,-,-,- ,25,1,00:20:00,1,0,0,6,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,00:20:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:21,SS,6M+,PL,6.3,PV,4.3,CL,86,0,RL,86,SA,20,DS,52,,0,00:21:00,0,0,0,172,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:21:00,0,0,0,0,0,0,0,0
,183,S,20,AC,38,52,6,6,14,2,2,18,4,3,0,0,0,36,1,00:21:00,1,1,1,12,12,4,84,21
,183,S,21,B,27,32,3,3,39,4,4,13,2,1,-,-,- ,36,1,00:21:00,1,1,1,9,9,3,84,28
,184,S,161,A,95,25,7,7,46,15,15,22,9,8,0,0,0,46,1,00:21:00,1,0,0,31,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:21:00,1,0,0,0,0,2,0,0
,183,S,183,B,27,32,3,3,39,4,4,-,-,- ,-,-,- ,36,1,00:21:00,1,1,0,7,0,2,0,0
,183,L,7,AC,38,52,6,6,-,-,- ,-,-,- ,-,-,- ,140,1,00:21:00,1,1,0,6,0,1,0,0
A=<29 ,B=48,C=#20,,,,,,,,,,,,,,,,,1,00:21:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:21,SS,58M+,PL,3.3,PV,3.3,CL,86,0,RL,77,SA,0,DS,0,,0,00:21:00,0,0,0,163,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:21:00,0,0,0,0,0,0,0,0
,288,S,206,A,100,27,12,10,6,2,2,20,9,8,0,0,0,23,1,00:21:00,1,1,1,23,23,4,53,13.25
,288,S,270,B,16,40,3,2,27,2,1,-,-,- ,-,-,- ,18,1,00:21:00,1,1,1,5,5,2,67,33.5
A=<67 ,B=#28,,,,,,,,,,,,,,,,,,1,00:21:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:21,SS,10,-,PL,4.2,PV,3.2,CL,60,0,RL,60,SA,30,DS,27,0,00:21:00,0,0,0,34.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:21:00,0,0,0,0,0,0,0,0
,354,S,30,A,59,27,8,5,23,7,5,14,4,2,-,-,- ,21,1,00:21:00,1,1,1,19,19,3,64,21.3333333333333
